Flexao Direita		Flexao Esquerda		Torcao Direita		Torcao Esquerda		Roll			Pitch			Yaw
.891683			21.790033		22.268640		22.268641		-28.891684		-43.425907
-41.752889		28.908134		21.836570		22.323618		22.323618		-28.908134		-45.423985
-41.755361		28.908038		21.855034		22.330957		22.330957		-28.908037		-45.589264
-41.759444		28.908721		21.859910		22.327007		22.327007		-28.908722		-45.521858
-41.761568		28.910845		21.856200		22.323297		22.323298		-28.910845		-45.439739
-41.762879		28.911757		21.844700		22.318596		22.318596		-28.911757		-45.397076
-41.768494		28.914919		21.834225		22.323269		22.323269		-28.914919		-45.494034
-41.755296		28.910907		21.833740		22.325983		22.325983		-28.910906		-45.560841
-41.759817		28.912785		21.828032		22.329222		22.329222		-28.912785		-45.510986
-41.773312		28.915135		21.821864		22.323343		22.323343		-28.915134		-45.622952
-41.783681		28.919806		21.811658		22.322778		22.322777		-28.919806		-45.583233
-41.779065		28.921459		21.802907		22.319042		22.319042		-28.921459		-45.559044
-41.777894		28.920288		21.807226		22.323360		22.323360		-28.920288		-45.656876
-41.786472		28.926770		21.804226		22.318019		22.318018		-28.926769		-45.622707
-41.783975		28.923809		21.795560		22.315685		22.315685		-28.923809		-45.571674
-41.789496		28.920896		21.805757		22.317718		22.317719		-28.920897		-45.528248
-41.787076		28.921200		21.803570		22.321355		22.321356		-28.921200		-45.426723
-41.794612		28.922419		21.797199		22.326025		22.326025		-28.922419		-45.490627
-41.794891		28.920042		21.795326		22.323987		22.323986		-28.920042		-45.562870
-41.791403		28.921080		21.798509		22.329528		22.329527		-28.921080		-45.530956
-41.791365		28.922173		21.802746		22.328645		22.328646		-28.922173		-45.549465
-41.791055		28.920582		21.816213		22.328474		22.328474		-28.920582		-45.515865
-41.794761		28.924345		21.812873		22.330690		22.330690		-28.924345		-45.621151
-41.796325		28.923228		21.820292		22.331350		22.331350		-28.923229		-45.779259
-41.796638		28.925756		21.818666		22.334934		22.334934		-28.925756		-45.764641
-41.795347		28.924465		21.823381		22.339648		22.339649		-28.924465		-45.720955
-41.800079		28.925192		21.820449		22.338202		22.338202		-28.925192		-45.688339
-41.798102		28.923215		21.814068		22.331821		22.331821		-28.923214		-45.569931
-41.798711		28.923665		21.815020		22.335038		22.335037		-28.923666		-45.468018
-41.796265		28.924188		21.813451		22.334515		22.334515		-28.924189		-45.412369
-41.796257		28.928658		21.810735		22.332111		22.332111		-28.928658		-45.396599
-41.790068		28.926090		21.802398		22.326975		22.326975		-28.926090		-45.246662
-41.795723		28.930369		21.804687		22.330040		22.330040		-28.930368		-45.055050
-41.793386		28.927866		21.813622		22.324634		22.324635		-28.927866		-44.936932
-41.801676		28.934928		21.818062		22.324779		22.324780		-28.934929		-44.944839
-41.807398		28.935345		21.816645		22.326599		22.326599		-28.935345		-44.937553
-41.796741		28.931486		21.805520		22.318552		22.318552		-28.931486		-44.906586
-41.797378		28.932268		21.813927		22.327243		22.327244		-28.932268		-45.022018
-41.796739		28.931629		21.814002		22.327318		22.327318		-28.931629		-45.127666
-41.798855		28.931117		21.806452		22.322831		22.322830		-28.931118		-45.196560
